Kooli ID	Kooli nimi	Maakond	Asutuse tüüp	Seadmete nimekiri	Toetus 2014	Toetus 2015	Toetus 2016	Toetus 2017	Toetus 2018	Toetus 2019	Toetus 2020	Toetus 2021
437	Abja Gümnaasium	Viljandi maakond	gümnaasium	LEGO Mindstorm EV3 baaskomplekt (9 tk), lisakomplekt (9 tk), IR vastuvõtja (9 tk), IR majakas (9 tk), temperatuuriandur (9 tk) ja heliandur (9 tk); Sphero Bolt Power Pack kohver (1tk); TELLO EDU Single Combo  droon (1tk)	3,000.00 €					2,154.24 €		
335	Antsla Gümnaasium	Võru maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (4 tk), EV3 lisakomplekt (4 tk), LME, EV3, Large Servo Motor (4 tk), Transformer 10V DC (4 tk). 3D-printer Ultimaker 2+ (1 tk)		1,279.20 €			1,589.00 €			
199	Aravete Keskkool	Järva maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (8 tk), EV3 lisakomplekt (4 tk), LME, EV3, Large Servo Motor (3 tk), LME, EV3, Medium Servo Motor (3 tk), LME, EV3, Infrared Beacon (2 tk), LME, EV3, Infrared Seeker (2 tk), LME, EV3, Cable Pack (4 tk), Transformer 10V DC (3 tk), LME, EV3 Science Activity Pack (1 tk), LME, NXT, Temperature Sensor (2 tk). Line Follower Sensor for NXT or EV3 (2 tk), BQ 3D-printer KIT i3Hephestos (3 tk). Ozobot Evo stardikomplekt titaaniummust (4 tk) ja kristallvalge (4 tk);  LEGO Education WeDo 2.0 põhikompl. (8 tk); laetav aku (8 tk); akulaadija 10V DC (4 tk); USB laadimisalus (1 tk); Stepcraft 2 D840 (1tk); AMB frees 1050 FME (1tk) + terad; Performance lisa Y teljele (1tk); Lasergraveerimise moodul DL445 (1tk); Oculus Quest 2 VR prillide komplekt (8tk)		3,535.26 €			1,880.35 €		2,857.68 €	4,410 €
256	August Kitzbergi nimeline Gümnaasium	Viljandi maakond	gümnaasium	Kodulabor III  (1 tk) ja LEGO Mindstorms EV3 baaskomplektid (4 tk), laadijad (2 tk)	1,151.40 €							
597	Avinurme Gümnaasium	Jõgeva maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (3 tk), EV3 lisakomplekt (3 tk), Transformer 10V DC (3 tk). Konstruktor "ROBI" (3 tk), ROBI joonejälgimise lisapakett (3 tk), ROBI "Folkrace" lisapakett (3 tk)		1,146.53 €						
1032	Eesti Rahvusvaheline Kool	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (6 tk). LEGO Mindstorms EV3 baaskomplekt (4 tk). Littlebits Student set (2 tk), Screen & Kano kit (10 tk). Computer KIT-s (10 tk)	1,260.00 €	2,766.35 €	540.00 €					
466	Ehte Humanitaargümnaasium	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (3 tk), lisakomplekt (2 tk), IR sensorid (2 tk). 6 Bee-Boti mesimummu koos laadimisalusega (1 tk), Bee-Bot Mesimummu algajate komplekt (3 tk), Ozobot starter pakk sinine (7 tk); littleBits Gizmos & Gadgets komplekt V2 (5tk); Codey Rocky robot (7tk); Neuron leiutajakomplekt (7tk); Blue-Bot 2.0 6 robotit+laadimisalus (2tk); Blue-Bot programm käsulugejaga (6tk); Codey Rocky (8tk); LEGO Education WeDo 2.0 põhikomplekt (8tk); Neuron loomelabori komplekt (4tk)	681.88 €		974.41 €			2,138.74 €	2,299.48 €	2,144.78 €
288	Elva Gümnaasium	Tartu maakond	gümnaasium	Kano (10 tk); DJI Tello Boost Combo (13tk); Midi controller playtron (13tk); Tahvelarvuti Samsung Galaxy A7 2020 (4tk)	642.60 €							2,974.28 €
480	Gustav Adolfi Gümnaasium	Harju maakond	gümnaasium	Arduino Starter kit (10 tk). Makey Makey Classic (2 tk), Edison Robot - EdPack2 (3 tk), Raspberry Pi CamJam EduKit #1 (15 tk). Ozobot Bit (10 tk), BQ Prusa i3 Hephestos KIT 3-printer (1 tk). Raspberry Pi RASPBERRY PI CAMERA MODULE (2 tk), Pikendusjuhe (ema-ema) 10 cm (8 tk). LEGO Education WeDo 2.0 põhikompl. (6 tk); LEGO Education Mindstorms EV3 põhikomp.koos tarkvaraga (4 tk); LEGO Education akulaadija 10V (4 tk); BBC micro:bit 10 klassikomplekt (1 tk); Zumo 32U4 Robot 75:1 mootorid (3 tk); Akud NiMh 1.2V 2600mAh Pikcell (2 tk); LED5 punane matt 10mA (20 tk); LED3 GLC roheline 10mA (20 tk); Aku Ni-Mh 1.2V 2650mAh GP (2 tk); Sphero Bolt Power Pack kohver (1 tk), Sphero RVR robot (2 tk), Oculus Quest 2 VR prillid (6 tk)	540.00 €	541.15 €	783.04 €		2,110.13 €			4,556.12 €
751	Haabersti Vene Gümnaasium	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (8 tk); EV3 lisakomplekt (3 tk); Transformer 10V DC (8 tk); LEGO Education WeDo 2.0 Core Set (6 tk); LEGO Education WeDo 2.0 Curriculum Pack (1 tk). LEGO Education Mindstorms EV3 põhikomp.koos tarkvaraga (7 tk); LEGO Education EV3 lisakomplekt (5 tk); LEGO Education EV3 värvi-ja valgusandur (5 tk); LEGO Education EV3 infrapuna otsija (1 tk); LEGO Education EV3 infrapunamajakas (1 tk); LEGO Education WeDo 2.0 põhikompl. (4 tk); Me temperatuuri ja niiskuse andur (7 tk); Me Light valgusandur (7 tk); Me Sound heliandur (7 tk); Me puuteandur (7 tk); Me potentsiomeeter (7 tk); Me joonejälgimise moodul (1 tk); Me PIR liikumisandur (7 tk); Arduino Uno (1 tk); Arduino roboti ehituskomplekt (7 tk); ITeaduino Uno (6 tk); LiPo aku 1600 mAh 2S 20C (7 tk); LiPo aku laadija B3 3x800 mA (7 tk); Tugikuul - plastik 29 mm (3 tk)		2,638.88 €			3,275.22 €			
10811	Hiiumaa Gümnaasium	Hiiu maakond	gümnaasium	Lego EV3 baaskomplekt, toiteadapterita (3tk)						1,071.00 €		
258	Hugo Treffneri Gümnaasium	Tartu maakond	gümnaasium	Velleman Vertex 3D+2 rulli plastikniiti+teine otsik (1 tk). GEMBIRD Printer 3D FlashForge Creator PRO (1 tk); EV3 Baaskomplekt (5tk)			671.25 €		731.50 €	1,333.30 €		
129	Häädemeeste Keskkool	Pärnu maakond	gümnaasium	WeDo 2 baaskomplekt, 8 tk; EV3 baaskomplekt, 8 tk; Taastuvenergia komplekt, 1 tk; Joonejälgimise väljak, 1 tk; Linnaläbimise matt, 1 tk; WeDo laetav aku, 8 tk; Akulaadija, 16 tk; EV3 füüsika tegevuste pakett, 2 tk			3,192.72 €					
405	Iisaku Gümnaasium	Ida-Viru maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (12 tk), lisakomplektid (6 tk), laadijad (4 tk)	2,917.24 €							
481	Jakob Westholmi Gümnaasium	Harju maakond	gümnaasium	Arduino baaskomplekt (16 tk), Raspberry Pi RASPBERRY PI CAMERA MODULE (2 tk), Raspberry Pi B+ (4 tk)		1,022.51 €						
3951	Jõgevamaa Gümnaasium	Jõgeva maakond	gümnaasium	Lego Mindstorms EV3 (12tk), EV3 lisakomplekt (6tk), akulaadija 10V (6tk). Rostock MAX v2, SeemeCNC (1 tk). Arduino Starter kit (12 tk); Andurite komplekt Arduinole (12 tk); Toiteplokk 12V 1.2A (12 tk); Lego NXT - Vernier adapter (2tk), CO2 andur (1tk), Termoandur (1tk), EKG andur (1tk), Energiaandur (1tk), pH andur (1tk), Tilgalugeja (1tk), Kiirenduseandur (1tk), Jõu andur (1tk), Creality Ender 3 3D-printer (3tk), Creality CR-10 V3 3D-printer (1tk), Flux Beamo Laserlõikuspink (1tk), Beam Air filtreerimissüsteem (1tk)	2,666.77 €	1,170.00 €			1,100.40 €			4,593.60 €
6751	Jõhvi Gümnaasium	Ida-Viru maakond	gümnaasium	EV3 lisakomplekt, 6 tk; LEGO EV3 baaskomplekt, 14 tk; Akulaadija 10V, 14 tk			3,599.31 €					
933	Järva-Jaani Gümnaasium	Järva maakond	gümnaasium	VERTEX 3D printer KIT (2 tk); Stepcraft D420 CNC pink (2tk); 800W AMB Frees (2tk); 10 freesitera komplekt (2tk)		1,177.20 €				2,143.40 €		
636	Jüri Gümnaasium	Harju maakond	gümnaasium	Robootika kodulabori baaskomplektid (3 tk), lisakomplektid (3 tk) ja lisaseadmed. LEGO MINDSTORMS Education EV3 põhikomplekt, 6 tk; LEGO Mindstorms EV3 Expansion Set, 6 tk; Transformer 10V DC, 6 tk; LEGO MINDSTORMS Education EV3 põhikomplekt + laadija (3tk); LEGO Mindstorms EV3 Expansion Set (3tk); LEGO Education Mindstorms EV3 põhikomplekt (8tk) + lisakomplekt	1,929.60 €		1,859.39 €			1,140.30 €	2,309.08 €	
286	Kadrina Keskkool	Lääne-Viru maakond	gümnaasium	Pneumatics Add-On Set (1 tk), Renewable Energy Add-on Set (3 tk), Activity Pack for 9641 (1 tk), LEGO Mindstorms EV3 baaskomplekt (3 tk), EV3 lisakomplekt (3 tk), LME, EV3 Space Challenge Set (1 tk), EV3 akulaadija 10V (3 tk), LME, EV3 Space Challenge Activity Pack (1 tk), LME, EV3 Science Activity Pack (1 tk), NXT Temperature Sensor (3 tk). Arduino/Genuino Starter kit (3 tk); CNC freespink TOONESEPP 600 mm x 800 mm tööalaga 1KW spindel (1tk), Alumiinium profiilist platvorm (1tk), MDF ohverduslik töölaud (1tk), Z telje kõrguse automaatne sensor (1tk), pöördtelje ühendusmoodul koos pööpöördteljega (1tk)		1,786.63 €	202.50 €					5,000.00 €
367	Kallavere Keskkool	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (6 tk), EV3 lisakomplekt (6 tk), Akulaadija 10V peenike pistik (6 tk), 3D printer Wanhao D6 (1 tk), ValuePLA 3D printeri filament, Must, 1 kg, 1,75mm (1 tk), PrimaSelect PLA - 1.75mm - 750 g – Kuldne (1 tk), PrimaSelect PLA - 1.75mm - 750 g – Kollane (1 tk)				3,056.86 €				
362	Kanepi Gümnaasium	Põlva maakond	gümnaasium	WeDo 2.0 baaskomplekt (14 tk), Bluetooth virtuaaladapter WeDo 2.0-le (7 tk)				1,772.51 €				
392	Kehra Gümnaasium	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplekt (8 tk), LME, EV3, Rechargeable Battery DC (4 tk), EV3 lisakomplekt (4 tk), LME, EV3, Infrared Beacon (1 tk), LME, EV3, Infrared Seeker (8 tk), LME, EV3, Cable Pack (2 tk), Transformer 10V DC (8 tk)		2,575.12 €						
17891	Keila Kool	Harju maakond	gümnaasium	LEGO Mindstorms EV3 baaskomplektid (6 tk) ja lisakomplektid (3 tk), laadijad (6 tk). Blue-Bot 6 mesimummu + laadimisalus (2 tk), Mesimummu läbipaistev matt (6 tk), 3D kujunditega matt (1 tk), Jutualustaja komplekt (6 tk), Jutualustaja Ühiskonna lisakomplekt (12 tk); Stepcraft D840 CNC pink (1tk); 800W AMB Frees (1tk); 10 freesitera komplekt (1tk); Lasergraveerimise moodul (1tk); Tööriista kõrguse sensor (1tk)	1,368.00 €			1,943.18 €		2,309.72 €		
595	Kiili Gümnaasium	Harju maakond	gümnaasium	3D printer kit (1 tk). Lego Mindstorms EV3 baaskomplekt laadijaga, 8 tk; EV3 värvi ja valgusandur, 6 tk; EV3 kaugusandur, 6 tk; Ülim kümme-ühes robootikakomplekt V2 (1tk), Arduino Starter kit (16tk), LittleBits MATIK (4tk), BBC micro:bit Go stardikomplekt (16tk), BBC micro:bit Kitronik leiutaja komplekt (16tk), Sphero Bolt Power Pack kohver (1tk)	326.59 €		2,865.00 €					4,758.90 €
